Food,Serving,Calories,User type,Constraint variable
Raspberries,1 cup (123 g),64 cal,VG/NV,F
Rhubarb,1 stalk (51 g),11 cal,VG/NV,F
Starfruit,1 star fruit (91 g),28 cal,VG/NV,F
Strawberries,1 cup (152 g),49 cal,VG/NV,F
Tamarind,1 tamarind (2 g),5 cal,VG/NV,F
Tangerine,1 tangerine (88 g),47 cal,VG/NV,F
Watermelon,1 wedge (286 g),86 cal,VG/NV,F
Baby Back Ribs,1 serving (139 g),360 cal,NV,P
Bacon and Eggs,1 serving (214 g),539 cal,NV,P
Baked Beans,1 cup (260 g),244 cal,VG/NV,N
BBQ Ribs,1 rib (141 g),360 cal,NV,B
Beef Stew,1 cup (196 g),186 cal,NV,B
Biryani,1 cup (275 g),484 cal,NV,R
Black Pudding,1 pudding (40 g),101 cal,NV,P
Black Rice,1/2 cup (100 g),323 cal,VG/NV,R
BLT,1 item (240 g),593 cal,NV,P
Brown Rice,1 cup (185 g),670 cal,VG/NV,R
Burrito,1 burrito (200 g),326 cal,NV,C
Butter Chicken,1 tray (350 g),490 cal,NV,Z
California Roll,1 roll (35 g),33 cal,NV,S
Chicken Caesar Salad,1 salad (309 g),392 cal,NV,C
Chicken Fried Steak,1 steak (280 g),423 cal,NV,C
Chicken Marsala,1 serving (2301 g),2209 cal,NV,C
Chicken Parmesan,1 piece (227 g),250 cal,NV,C
Chicken Pot Pie,1 pie (302 g),673 cal,NV,C
Chicken Tikka Masala,1 serving (241 g),195 cal,NV,C
Chili con Carne,1 cup (253 g),266 cal,NV,B
Chimichanga,1 item (180 g),418 cal,NV,P
Cobb Salad,1 serving (536 g),632 cal,NV,C
Collard Greens,1 cup (45 g),13 cal,VG/NV,V
Corn Dog,1 item (175 g),438 cal,NV,P
Corned Beef Hash,1 can (213 g),349 cal,NV,B
Cottage Pie,1 pie (376 g),523 cal,NV,B
Dal,1/2 cup (92 g),304 cal,VG/NV,Z
Deviled Eggs,1/2 egg (31 g),62 cal,VG/NV,G
Dim Sum,1 piece (19 g),37 cal,NV,P
Dosa,1 serving (435 g),287 cal,VG/NV,Z
Enchiladas,1 enchilada (192 g),323 cal,NV,B
Fajita,1 serving (248 g),290 cal,NV,B
Fish and Chips,1 serving (300 g),585 cal,NV,S
Fried Rice,1 serving (356 g),662 cal,VG/NV,R
Fried Shrimp,1 shrimp (27 g),75 cal,NV,S
Grilled Cheese Sandwich,1 sandwich (136 g),392 cal,VG/NV,M
Ham and Cheese Sandwich,1 sandwich (146 g),352 cal,NV,P
Hummus,1 cup (246 g),435 cal,VG/NV,N
Jambalaya,1 cup (250 g),250 cal,NV,P
Kebab,1 kebab (360 g),774 cal,NV,L
Lasagne,1 serving (215 g),284 cal,NV,I
Mac and Cheese,1 serving (189 g),699 cal,VG/NV,M
Macaroni and Cheese,1 serving (189 g),699 cal,VG/NV,I
Mashed Potatoes,1 cup (210 g),174 cal,VG/NV,V
Meat Pie,1 pie (120 g),290 cal,NV,B
Meatloaf,1 loaf (284 g),721 cal,NV,B
Naan,1 bread (84 g),260 cal,VG/NV,Z
Orange Chicken,1 serving (162 g),420 cal,NV,C
Pad Thai,1 cup (250 g),375 cal,VG/NV,R
Paella,1/2 package (128 g),200 cal,VG/NV,R
Paratha,1 paratha (80 g),260 cal,VG/NV,Z
Pea Soup,1 cup (253 g),190 cal,VG/NV,V
Peanut Butter Sandwich,1 sandwich (49 g),200 cal,VG/NV,N
Philly Cheese Steak,1 sandwich (120 g),300 cal,NV,B
Pizza,1 slice (102 g),272 cal,VG/NV,I
Pork Chop,1 chop (131 g),295 cal,NV,P
Potato Salad,1/3 cup (95 g),136 cal,VG/NV,V
Pulled Pork Sandwich,1 sandwich (261 g),551 cal,NV,P
Ramen,"1 package, dry (85 g)",380 cal,VG/NV,R
Ravioli,5 ravioli (66 g),134 cal,VG/NV,I
Reuben Sandwich,1 sandwich (308 g),641 cal,NV,B
Roast Beef,1 slice (21 g),23 cal,NV,B
Roast Dinner,1 slice (121 g),240 cal,NV,B
Samosa,1 samosa (50 g),107 cal,VG/NV,Z
Sausage Roll,1 roll (103 g),361 cal,NV,P
Sausage Rolls,1 roll (34 g),101 cal,NV,P
Shepherds Pie,1 pie (227 g),159 cal,NV,L
Shrimp Cocktail,1 oz. (28 g),130 cal,NV,S
Sloppy Joe,1/2 cup (142 g),101 cal,NV,P
Sloppy Joes,1 bun (258 g),397 cal,NV,P
Spaghetti Bolognese,1 serving (283 g),374 cal,NV,B
Spring Roll,1 roll (140 g),350 cal,VG/NV,V
Taco,1 taco (98 g),213 cal,NV,B
Tandoori Chicken,1 serving (175 g),198 cal,NV,C
Brown Rice,1 cup (195 g),757 cal,VG/NV,R
Couscous,1 cup (173 g),650 cal,VG/NV,R
Cracker,1 cracker (7 g),35 cal,VG/NV,W
Polenta,1 cup (150 g),549 cal,VG/NV,R
Prawn Crackers,1 cracker (3 g),16 cal,NV,W
Pretzel Sticks,20 sticks (12 g),46 cal,VG/NV,W
Quinoa,1 cup (170 g),626 cal,VG/NV,R
Savoury Biscuits,40 grams (40 g),139 cal,VG/NV,W
Shortbread,1 cookie (19 g),95 cal,VG/NV,W
Tortilla Chips,20 chips (32 g),160 cal,VG/NV,W
Alphabet Soup,1 cup (248 g),62 cal,VG/NV,V
Bean Stew,1 cup (252 g),335 cal,VG/NV,V
Beef Noodle Soup,1 cup (244 g),83 cal,NV,B
Beef Soup,1 cup (213 g),70 cal,NV,B
Broccoli Soup,1 cup (237 g),206 cal,VG/NV,V
Cabbage Soup,1 cup (245 g),69 cal,VG/NV,V
Carrot Soup,1 serving (381 g),95 cal,VG/NV,V
Chicken Broth,1 cup (244 g),39 cal,NV,C
Chicken Gumbo Soup,1 cup (244 g),56 cal,NV,C
Chicken Noodle Soup,1 cup (248 g),62 cal,NV,C
Chicken Stock,1 cup (244 g),39 cal,NV,C
Chicken Vegetable Soup,1 cup (248 g),77 cal,NV,C
Chicken with Rice Soup,1 cup (243 g),58 cal,NV,C
Cream of Asparagus Soup,1 cup (244 g),85 cal,VG/NV,M
Cream of Broccoli Soup,1 serving (310 g),140 cal,VG/NV,M
